device,theta1,theta2
100,0.904212276605661,0.872283035357574
104,0.936014687163162,0.872029381079948
105,0.936014687163162,0.872029381079948
108,0.999999858332765,0.999999811087774
110,0.987041884037633,0.974083768299421
112,0.981029765958596,0.974706352780096
115,0.891026977655448,0.806471044879105
117,0.883786419209366,0.845048558461213
120,0.878340584503872,0.837787442749241
122,0.989409299465868,0.978818602434066
129,0.927004144752891,0.854008291125089
131,0.984974424679885,0.969948850068045
135,0.68950783597797,0.586010406800892
139,0.892521643598642,0.785043691095248
141,0.85539421398051,0.710788437784937
142,0.85539421398051,0.710788437784937
146,0.464021676306316,0.285362231165219
147,0.464021676306316,0.285362231165219
154,0.96049203830004,0.920984083153536
157,0.990615560047145,0.981231120919007
164,0.511564171613176,0.348752226600788
168,0.87574146980726,0.751482948249504
170,0.826104363167088,0.652437077481189
179,0.980867517820549,0.96173503714478
180,0.980867517820549,0.96173503714478
182,0.999999858332765,0.999999811087774
185,0.625615839798343,0.500821117820501
188,0.816947949447143,0.635459957101487
192,0.902777749636506,0.805555500671731
195,0.999999708591403,0.999999611439623
200,0.858208501151619,0.716417027374868
202,0.999999858332765,0.999999811087774
206,0.979935026919599,0.959870055185142
208,0.975511483474227,0.951022967982748
209,0.975511483474227,0.951022967982748
214,0.791361798236664,0.584663910767049
216,0.928640362150884,0.857280770429026
224,0.366274406839349,0.155032419309311
226,0.999999842697389,0.999999790239783
228,0.97839699389871,0.956793988578649
231,0.999999715976105,0.999999621062541
233,0.996922097363847,0.993844195343287
238,0.977389157166017,0.955232586588838
240,0.999999857563467,0.999999810032113
244,0.835829311957274,0.671658812615702
247,0.616458494956831,0.415812141507072
249,0.987454862031244,0.974909725113558
252,0.999999803912301,0.999999738549707
255,0.787129816936649,0.716173020431253
259,0.980364013655429,0.973818683696596
261,0.681442328251257,0.558618082171849
262,0.681442328251257,0.558618082171849
264,0.999999715976105,0.999999621062541
267,0.961461126663786,0.922922270629581
272,0.906197182387006,0.812394383777133
273,0.906197182387006,0.812394383777133
285,0.909249115361482,0.818710857915529
287,0.947034551198059,0.894069125022655
290,0.727256675313485,0.585453671450057
292,0.963107548388237,0.926215111952487
