time_from,time_to,region_from,region_to,Nnet_true
220,230,6,6,17
220,230,7,5,2
220,230,7,7,27
220,230,8,8,6
220,230,9,9,19
220,230,10,10,12
230,240,1,1,16
230,240,1,2,1
230,240,2,2,16
230,240,2,3,2
230,240,3,3,23
230,240,4,4,9
230,240,5,5,15
230,240,6,6,17
230,240,7,7,27
230,240,8,8,6
230,240,9,9,19
230,240,10,10,12
240,250,1,1,16
240,250,2,1,1
240,250,2,2,15
240,250,2,3,1
240,250,3,3,25
240,250,4,4,9
240,250,5,5,15
240,250,6,6,17
240,250,7,5,1
240,250,7,7,26
240,250,8,8,6
240,250,9,9,19
240,250,10,10,12
250,260,1,1,16
250,260,1,2,1
250,260,2,2,15
250,260,3,3,26
250,260,4,4,9
250,260,5,5,16
250,260,6,6,17
250,260,7,7,26
250,260,8,8,6
250,260,9,9,19
250,260,10,7,1
250,260,10,10,11
260,270,1,1,16
260,270,2,2,16
260,270,3,3,26
260,270,4,4,8
260,270,4,5,1
260,270,5,2,1
260,270,5,5,15
260,270,6,4,1
260,270,6,6,16
260,270,7,7,27
260,270,8,8,6
260,270,9,9,19
260,270,10,10,11
270,280,1,1,16
270,280,2,2,16
270,280,2,3,1
270,280,3,3,26
270,280,4,4,8
270,280,4,5,1
270,280,5,5,16
270,280,6,6,16
270,280,7,7,27
270,280,8,8,6
270,280,9,9,19
270,280,10,10,11
280,290,1,1,16
280,290,2,1,1
280,290,2,2,15
280,290,3,3,27
280,290,4,4,8
280,290,5,5,17
280,290,6,6,16
280,290,7,5,1
280,290,7,7,26
280,290,8,8,6
280,290,9,7,1
280,290,9,9,17
280,290,9,10,1
280,290,10,10,11
290,300,1,1,16
290,300,1,2,1
290,300,2,2,15
290,300,3,3,27
290,300,4,4,8
290,300,5,3,1
290,300,5,5,17
290,300,6,6,16
290,300,7,7,27
290,300,8,8,6
290,300,9,9,17
290,300,10,7,1
290,300,10,10,11
300,310,1,1,16
300,310,2,1,1
300,310,2,2,14
300,310,2,3,1
300,310,3,3,28
300,310,4,4,8
300,310,5,5,17
300,310,6,6,15
300,310,6,7,1
300,310,7,5,1
300,310,7,7,27
300,310,8,8,6
300,310,9,6,1
300,310,9,9,16
300,310,10,10,11
310,320,1,1,16
310,320,1,2,1
310,320,2,2,14
310,320,3,3,29
310,320,4,4,8
310,320,5,5,17
310,320,5,7,1
310,320,6,6,15
310,320,6,7,1
310,320,7,5,1
310,320,7,7,27
310,320,8,8,6
310,320,9,9,16
310,320,10,10,11
320,330,1,1,16
320,330,2,2,15
320,330,3,3,29
320,330,4,4,8
320,330,5,5,18
320,330,6,6,14
320,330,6,7,1
320,330,7,7,29
320,330,8,8,6
320,330,9,9,16
320,330,10,10,11
330,340,1,1,16
330,340,2,2,15
330,340,3,3,29
330,340,4,4,8
330,340,5,5,18
330,340,6,6,14
330,340,7,5,1
330,340,7,7,29
330,340,8,8,6
330,340,9,9,16
330,340,10,10,11
340,350,1,1,16
340,350,2,2,15
340,350,3,3,29
340,350,4,4,8
340,350,5,5,19
340,350,6,6,14
340,350,7,7,29
340,350,8,8,6
340,350,9,9,16
340,350,10,10,11
350,360,1,1,16
350,360,2,2,15
350,360,3,3,29
350,360,4,4,8
350,360,5,3,2
350,360,5,5,17
350,360,6,4,1
350,360,6,6,13
350,360,7,7,29
350,360,8,8,6
350,360,9,9,16
350,360,10,10,11
360,370,1,1,16
360,370,2,2,14
360,370,2,5,1
360,370,3,3,31
360,370,4,1,1
360,370,4,4,8
360,370,5,5,17
360,370,6,6,12
360,370,6,7,1
360,370,7,7,29
360,370,8,8,6
360,370,9,9,15
360,370,9,10,1
360,370,10,10,11
370,380,1,1,17
370,380,2,2,14
370,380,3,3,31
370,380,4,4,8
370,380,5,2,1
370,380,5,5,17
370,380,6,6,11
370,380,6,7,1
370,380,7,7,30
370,380,8,8,6
370,380,9,9,15
370,380,10,10,12
380,390,1,1,17
380,390,2,2,14
380,390,2,5,1
380,390,3,2,1
